response_id,session_id,learning_objective_id,learning_objective
gupnzcy,cvycued,qrrxuhe,Finding fractions of an amount.
gqihiow,ebrxejq,cgfsxji,Using place value to order and compare numbers.
crwtzaj,lomhixr,ymtgqot,Using place value to order and compare numbers.
lnigwgy,lwhbizi,cimheim,Multiplying and dividing whole numbers and decimals by 10 and 100.
alpztat,xrhawdc,hmvosvx,Multiplying and dividing whole numbers and decimals by 10 and 100.
iwuejvx,evadcsq,kioiqmy,Comparing and ordering fractions by finding a common denominator.
pfkupfh,povwbxr,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
fmloyqp,cthuroi,aqjhubg,Knowing the value of each digit in numbers with up to 2 decimal places.
jqyajbf,rogkasx,uynnzcm,"Rounding numbers to the nearest 100 and 1,000."
bpvygsi,oyxkaxx,ojolhpj,Comparing fractions using reasoning.
iprpckh,mjzifye,suokxjq,Adding and subtracting fractions with different denominators.
ablctbg,yjqbsow,qrrxuhe,Finding fractions of an amount.
zsoabxu,fnzfjlu,suokxjq,Adding and subtracting fractions with different denominators.
yvaulsk,fvbhshs,hxuqbuo,Comparing fractions using reasoning.
svzohpm,quiawpo,msbrtma,Comparing fractions using reasoning.
fscksxq,ioucphf,ggbvvkw,Counting in multiples.
zvgviqf,tqbmfsl,wltzydm,Finding fractions of an amount.
nrxyuow,etfnvxg,yovdkeb,Counting in multiples.
czfkxsw,kmbwxkm,egiflvt,Knowing the value of each digit in numbers with up to 2 decimal places.
rpezqrl,sdlccau,gwqoozf,Comparing and ordering fractions by finding a common denominator.
yleestf,xvakapi,ojolhpj,Comparing fractions using reasoning.
sznzeko,ztxxikr,dbuhjvm,Comparing fractions using reasoning.
jclifjk,uiulber,tdzcbyf,Using place value to order and compare numbers.
wmkkphw,vmpbrrr,gwqoozf,Comparing and ordering fractions by finding a common denominator.
klbwmde,teirvxb,slxnxgu,"Rounding numbers to the nearest 100 and 1,000."
jucdomy,mnsnvyy,ggbvvkw,Counting in multiples.
triqphj,zwutazt,kioiqmy,Comparing and ordering fractions by finding a common denominator.
ynmugfz,hgtsefp,yovdkeb,Counting in multiples.
ulyjras,cvfukgg,njsljpo,Using place value to order and compare numbers.
egvfmxy,tgffwnr,hmjgvts,Adding and subtracting fractions with different denominators.
lchqisz,erbixux,ykuuptr,"Rounding numbers to the nearest 100 and 1,000."
qqnepyr,uxmanxz,jdswzgl,Knowing the value of each digit in numbers with up to 2 decimal places.
twkizlt,igsurpu,cqjxopt,Comparing and ordering fractions by finding a common denominator.
qdiieuz,metvycd,cgfsxji,Using place value to order and compare numbers.
zflgbqw,trnstog,tdzcbyf,Using place value to order and compare numbers.
cqavbld,hfkhine,msbrtma,Comparing fractions using reasoning.
klovziy,eqyxrux,pooqxzw,Counting in multiples.
ldpshpl,tccpwcf,jnaeyqb,Comparing and ordering fractions by finding a common denominator.
dklixkq,mnmaeng,cgfsxji,Using place value to order and compare numbers.
aixxzbw,dfknyax,nqqwnsx,Comparing and ordering fractions by finding a common denominator.
gactpow,pacvhdr,bnwoavr,Knowing the value of each digit in numbers with up to 2 decimal places.
ccypund,fpwinrr,vjiconv,Adding and subtracting fractions with different denominators.
nzddjlq,dgtyakw,vjiconv,Adding and subtracting fractions with different denominators.
eydfzjo,afzzjus,pooqxzw,Counting in multiples.
lgnuawe,twcmfru,tdzcbyf,Using place value to order and compare numbers.
xzyqxwq,eclifdw,hhxmdhg,"Rounding numbers to the nearest 100 and 1,000."
xivyqdf,qtnuyol,vjiconv,Adding and subtracting fractions with different denominators.
enlvheq,smijkfq,msbrtma,Comparing fractions using reasoning.
dxcmyov,cvbytrn,tsowzvj,Comparing fractions using reasoning.
ltsnczb,jtbshag,vibpixk,Using place value to order and compare numbers.
jqtnkkz,rcycrun,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
iwbrrrk,lfafsuh,njsljpo,Using place value to order and compare numbers.
rlpxrtz,gsjzyzc,gouufve,Using place value to order and compare numbers.
fprsdtf,gsuwydd,pooqxzw,Counting in multiples.
ksgdrhv,pbtlume,vjiconv,Adding and subtracting fractions with different denominators.
xjtfygw,ncslilh,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
uivqrjg,fakkofs,nmlfckc,Counting in multiples.
sbjdaac,pzrbxej,dbuhjvm,Comparing fractions using reasoning.
yuzczpu,ftrkcnt,wskitab,Knowing the value of each digit in numbers with up to 2 decimal places.
wgtqkmf,gukoudm,xilputy,Comparing fractions using reasoning.
extoskg,dwkpqit,qzxykqe,Counting in multiples.
yzfulsc,wwwhcli,cqjxopt,Comparing and ordering fractions by finding a common denominator.
mdvkgsy,nfxvhdg,msbrtma,Comparing fractions using reasoning.
