business,metro,niche,website,public_contact,observation,lead_recovery_hypothesis,first_contact_date,channel,status,next_step,opt_out,notes
Greater San Diego Air Conditioning Co.,"San Diego, CA",HVAC,https://www.gsdac.com/,619-469-7818,"Homepage emphasizes phone calls, commercial HVAC service, and San Diego County coverage; no web form was visible in the inspected homepage.",Ask how missed calls and commercial service inquiries are logged and returned after hours.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; do not claim a missed-call problem as fact. | Outreach email sent 2026-08-14 via absbm14@gmail.com
San Diego Green HVAC,"San Diego, CA",HVAC,https://www.sandiegosgreenhvac.com/,760-688-8556,Homepage prominently shows $0 Trip Fee / $0 Service Call messaging and repeats the phone CTA.,Ask whether quote requests and missed calls receive the same follow-up and how response time is measured.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; use the public offer as the personalization detail. | Outreach email sent 2026-08-14 via absbm14@gmail.com
DMG HVAC,"San Diego, CA",HVAC,https://dmghvac.com/san-diego-california/,858-348-0004,"San Diego page describes commercial, public, and government facilities plus design, installation, controls, support, and repairs.","Offer an intake/status board for multi-step commercial inquiries and service handoffs, not a consumer chatbot.",2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; confirm scope before contacting. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Anderson Plumbing Heating & Air,"San Diego, CA",HVAC + plumbing,https://www.andersonplumbingheatingandair.com/,619-639-8408,"Homepage shows 24/7 emergency support, Schedule Online, multiple service categories, and customer-facing forms.","Ask how emergency, scheduled, and web-form leads are triaged and escalated to humans.",2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; avoid implying their current system is deficient. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Atlas HVAC,"San Diego, CA",HVAC,https://atlascoolingandheating.com/,619-916-4711,"Homepage prominently advertises a free quote, 24HR quote by email, and phone contact; no web form was visible in the inspected homepage.",Ask whether quote-by-email requests are tracked to a booked next step and whether missed calls are reconciled.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14. | Outreach email sent 2026-08-14 via absbm14@gmail.com
ACCO Engineered Systems,San Diego region,commercial HVAC,https://www.accoes.com/,800-598-2226,"Homepage lists 24-hour emergency service, locations, and a Service Request path for engineered systems.",Offer a service-request exception log and human escalation report for commercial accounts.,2026-08-14,email,contacted,Send outreach to servicerequest@accoes.com,no,Source page inspected 2026-08-14; may be a larger procurement fit. | Outreach email sent 2026-08-14 via absbm14@gmail.com | Real email: servicerequest@accoes.com
Baker Home Energy,"San Diego, CA",HVAC + energy,https://bakerhomeenergy.com/,760-276-6269,"Homepage combines heating and cooling with solar, batteries, roofing, a quote path, Book Now, and multiple forms.",Ask how multi-service inquiries are routed so heating/cooling requests do not stall in a broader intake queue.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14. | Outreach email sent 2026-08-14 via absbm14@gmail.com
HVAC San Diego King / Top Cooling Guys,"San Diego, CA",HVAC,https://topcoolingguys.com/,619-202-8344,"Homepage displays service hours Mon–Sun 7am–11:55pm, a Submit Your Info form, and repeated phone CTAs.","Ask whether late-evening inquiries are logged, responded to, and assigned to a next action.",2026-08-14,email,contacted,Send outreach to support@topcoolingguys.com,no,Source page inspected 2026-08-14; do not promise 24/7 coverage. | Outreach email sent 2026-08-14 via absbm14@gmail.com | Real email: support@topcoolingguys.com
Same Day Heating Cooling Plumbing,"San Diego, CA",HVAC + plumbing,https://samedaysd.com/,619-762-3044,"Homepage shows Chat with Us, multiple service categories, Today's Deals, and many forms in the inspected page.","Offer one unified lead board and exception report across chat, forms, and phone handoffs.",2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Hamel's Air Conditioning and Heating,"San Diego, CA",HVAC,https://sandiegoheatair.com/,619-456-1488,"Homepage shows Request Estimate and Request Service paths and lists San Diego-area coverage including La Mesa, Lakeside, and Santee.",Ask whether estimate/service requests are tracked through booking and how missed calls are returned.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,"Source page inspected 2026-08-14; phone was visible as page text, not a tel link. | Outreach email sent 2026-08-14 via absbm14@gmail.com"
